sp_name;max_length;trophic_level;trophic_group;water_column;diel_activity;habitat;thermal_mp_5min_95max;thermal_95thmax
Abalistes stellatus;60;3.4;Benthic invertivore;Demersal;Day;sand;25.73175;30.9635
Abudefduf abdominalis;30;3;Planktivore;Demersal;Day;coral;25.7133;27.3996
Abudefduf bengalensis;17;3.1;Planktivore;Demersal;Day;coral;24.471725;31.533
Abudefduf concolor;19;2.7;Planktivore;Demersal;Day;coral;27.6948;29.9396
Abudefduf conformis;13.1;2.8;Planktivore;Demersal;Day;coral;28.8402;31.67015
Abudefduf luridus;15;3.5;Planktivore;Demersal;Day;rock;21.44195;24.585
Abudefduf notatus;17;2.7;Planktivore;Demersal;Day;coral;26.18385;30.3528
Abudefduf saxatilis;22.9;3.4;Planktivore;Demersal;Day;coral;26.591975;30.93295
Abudefduf septemfasciatus;23;3;Planktivore;Demersal;Day;coral;27.5349;31.655
Abudefduf sexfasciatus;16;2.4;Planktivore;Demersal;Day;coral;24.792;31.121
Abudefduf sordidus;23;2.8;Planktivore;Demersal;Day;coral;24.901625;31.18625
Abudefduf sparoides;16;3;Planktivore;Demersal;Day;coral;27.653;30.052
Abudefduf troschelii;20;3;Planktivore;Demersal;Day;coral;25.586;30.399
Abudefduf vaigiensis;20;2.6;Planktivore;Demersal;Day;coral;23.959625;31.30125
Abudefduf whitleyi;14;2.6;Planktivore;Demersal;Day;coral;24.4745;29.938
Acanthaluteres brownii;55;2.8;Omnivore;Demersal;Day;rock;17.9445;22.745
Acanthaluteres spilomelanurus;14;2.9;Omnivore;Demersal;Day;sand;16.4175;22.598
Acanthaluteres vittiger;35;2;Omnivore;Demersal;Day;rock;16.799;23.239
Acanthemblemaria atrata;5;3.3;Benthic invertivore;benthic;Day;rock;28.233;29.75
Acanthemblemaria castroi;6;3.4;Benthic invertivore;benthic;Day;rock;23.54945;26.311
Acanthemblemaria crockeri;6;3.4;Benthic invertivore;benthic;Day;coral;22.65535;29.47
Acanthemblemaria hancocki;4.5;3.4;Benthic invertivore;benthic;Day;rock;26.7425;30.292
Acanthemblemaria spinosa;2.8;3.1;Benthic invertivore;benthic;Day;coral;28.39195;30.9887
Acanthemblemaria stephensi;5;3.4;Benthic invertivore;benthic;Day;rock;26.897;27.526
Acanthistius cinctus;50;4.1;Higher carnivore;Demersal;Day;rock;21.339;24.92
Acanthistius ocellatus;64;4.1;Higher carnivore;Demersal;Day;rock;19.89925;24.56
