"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Abalistes_stellatus","Abalistes_stellatus_A_2",0,1,NA
"Abalistes_stellatus","Abalistes_stellatus_A_1",0,0,NA
"Abalistes_stellatus","Abalistes_stellatus_J_1",0,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_A_2",0,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_A_1",0,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_J_1",0,0,NA
"Abudefduf_bengalensis","Abudefduf_bengalensis_A_1",0,0,NA
"Abudefduf_concolor","Abudefduf_concolor_A_1",0,0,NA
"Abudefduf_concolor","Abudefduf_concolor_A_2",0,0,NA
"Abudefduf_conformis","Abudefduf_conformis_A_1",0,0,NA
"Abudefduf_conformis","Abudefduf_conformis_A_2",0,0,NA
"Abudefduf_luridus","Abudefduf_luridus_A_1",0,0,NA
"Abudefduf_luridus","Abudefduf_luridus_A_2",0,0,NA
"Abudefduf_luridus","Abudefduf_luridus_J_2",0,0,NA
"Abudefduf_notatus","Abudefduf_notatus_1",1,0,1362.977124
"Abudefduf_notatus","Abudefduf_notatus_A_1",0,0,NA
"Abudefduf_saxatilis","Abudefduf_saxatilis_A_2",0,0,NA
"Abudefduf_saxatilis","Abudefduf_saxatilis_A_1",0,0,NA
"Abudefduf_saxatilis","Abudefduf_saxatilis_J_1",0,0,NA
"Abudefduf_septemfasciatus","Abudefduf_septemfasciatus_A_1",0,0,NA
"Abudefduf_septemfasciatus","Abudefduf_septemfasciatus_A_2",0,0,NA
"Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_1",0,0,NA
"Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_3",0,0,NA
"Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_2",0,0,NA
"Abudefduf_sordidus","Abudefduf_sordidus_A_1",0,0,NA
"Abudefduf_sordidus","Abudefduf_sordidus_A_3",0,1,NA
"Abudefduf_sordidus","Abudefduf_sordidus_A_2",0,0,NA
"Abudefduf_sparoides","Abudefduf_sparoides_2",1,0,1408.883012
"Abudefduf_sparoides","Abudefduf_sparoides_A_1",0,0,NA
"Abudefduf_troschelii","Abudefduf_troschelii_A_2",0,0,NA
"Abudefduf_troschelii","Abudefduf_troschelii_A_1",0,0,NA
"Abudefduf_vaigiensis","Abudefduf_vaigiensis_3",1,0,1447.976771
"Abudefduf_vaigiensis","Abudefduf_vaigiensis_A_1",0,0,NA
"Abudefduf_whitleyi","Abudefduf_whitleyi_A_1",0,0,NA
"Abudefduf_whitleyi","Abudefduf_whitleyi_A_2",0,0,NA
"Acanthaluteres_brownii","Acanthaluteres_brownii_F_1",0,0,NA
"Acanthaluteres_brownii","Acanthaluteres_brownii_M_2",0,0,NA
"Acanthaluteres_brownii","Acanthaluteres_brownii_M_1",0,0,NA
"Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_M_1",0,0,NA
"Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_M_2",0,0,NA
"Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_F_1",0,0,NA
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_2",0,0,NA
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_F_1",0,1,NA
"Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_1",0,0,NA
"Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_2",0,0,NA
"Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_1",0,0,NA
"Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_2",0,0,NA
"Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_1",0,0,NA
"Acanthemblemaria_crockeri","Acanthemblemaria_crockeri_A_1",0,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_1",0,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_3",0,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_2",0,0,NA
"Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_4",0,0,NA
"Acanthemblemaria_spinosa","Acanthemblemaria_spinosa_A_1",0,0,NA
"Acanthemblemaria_stephensi","Acanthemblemaria_stephensi_A_1",0,0,NA
"Acanthistius_cinctus","Acanthistius_cinctus_A_1",0,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_A_1",0,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_J_1",0,0,NA
"Acanthistius_ocellatus","Acanthistius_ocellatus_A_2",0,0,NA
"Acanthistius_pardalotus","Acanthistius_pardalotus_A_1",0,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_3",0,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_1",0,0,NA
"Acanthistius_patachonicus","Acanthistius_patachonicus_A_2",0,0,NA
"Acanthistius_sebastoides","Acanthistius_sebastoides_A_1",0,0,NA
"Acanthistius_serratus","Acanthistius_serratus_A_1",0,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_1",0,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_4",0,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_J_1",0,1,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_3",0,0,NA
"Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_2",0,0,NA
"Acanthopagrus_australis","Acanthopagrus_australis_A_2",0,0,NA
"Acanthopagrus_australis","Acanthopagrus_australis_A_1",0,0,NA
"Acanthopagrus_latus","Acanthopagrus_latus_A_1",0,1,NA
"Acanthostracion_polygonius","Acanthostracion_polygonius_J_1",0,0,NA
"Acanthostracion_polygonius","Acanthostracion_polygonius_A_2",0,0,NA
"Acanthostracion_polygonius","Acanthostracion_polygonius_A_1",0,0,NA
