"Species","Evaluated/Predicted Score","Method"
"Abalistes_stellatus",1564.5955,"predicted"
"Abudefduf_abdominalis",1616.3445,"predicted"
"Abudefduf_bengalensis",1453.3264,"predicted"
"Abudefduf_concolor",1523.1404,"predicted"
"Abudefduf_conformis",1511.6377,"predicted"
"Abudefduf_luridus",1627.8895,"predicted"
"Abudefduf_notatus",1425.2566,"predicted"
"Abudefduf_saxatilis",1539.4749,"predicted"
"Abudefduf_septemfasciatus",1386.3691,"predicted"
"Abudefduf_sexfasciatus",1712.4592,"predicted"
"Abudefduf_sordidus",1363.285,"evaluated"
"Abudefduf_sparoides",1484.0095,"predicted"
"Abudefduf_troschelii",1585.7848,"predicted"
"Abudefduf_vaigiensis",1450.9015,"predicted"
"Abudefduf_whitleyi",1423.365,"predicted"
"Acanthaluteres_brownii",1478.4194,"predicted"
"Acanthaluteres_spilomelanurus",1565.4321,"predicted"
"Acanthaluteres_vittiger",1645.3358,"predicted"
"Acanthemblemaria_atrata",1397.984,"predicted"
"Acanthemblemaria_castroi",1411.0616,"predicted"
"Acanthemblemaria_crockeri",1385.5352,"predicted"
"Acanthemblemaria_hancocki",1437.6733,"predicted"
"Acanthemblemaria_spinosa",1410.3445,"predicted"
"Acanthemblemaria_stephensi",1487.753,"predicted"
"Acanthistius_cinctus",1695.2675,"predicted"
"Acanthistius_ocellatus",1466.687,"predicted"
"Acanthistius_pardalotus",1421.5018,"predicted"
"Acanthistius_patachonicus",1364.1047,"predicted"
"Acanthistius_sebastoides",1301.8866,"predicted"
"Acanthistius_serratus",1264.0823,"predicted"
"Acanthochromis_polyacanthus",1599.4014,"predicted"
"Acanthopagrus_australis",1264.5488,"predicted"
"Acanthopagrus_latus",1187.185,"evaluated"
"Acanthostracion_polygonius",1678.2637,"predicted"
"Acanthostracion_quadricornis",1670.8469,"predicted"
"Acanthurus_achilles",1631.3818,"predicted"
"Acanthurus_albipectoralis",1454.019,"evaluated"
"Acanthurus_auranticavus",1544.7998,"predicted"
"Acanthurus_bahianus",1804.743,"evaluated"
"Acanthurus_bariene",1660.1016,"predicted"
"Acanthurus_blochii",1682.147,"evaluated"
"Acanthurus_chirurgus",1600.3994,"predicted"
"Acanthurus_chronixis",1528.2725,"predicted"
"Acanthurus_coeruleus",1808.11,"evaluated"
"Acanthurus_dussumieri",1643.1941,"predicted"
