"","Chisq","Df","Pr(>Chisq)"
"gender",0.0110477733150126,2,0.994491341951124
"age_cat",0.635495733509569,4,0.959038797361383
"education",0.404780456602569,5,0.995196899054619
"scuba_diving",0.222984493035114,1,0.636775233340169
"country_cat",0.217978551348611,3,0.974636054037572
"fishing_spearing",0.0989536232688063,1,0.753088958688401
"aquarium",0.0361837817009344,1,0.849136464952394
"place",0.928119390815809,4,0.920492427225636
"distance_sea",0.058427793797406,2,0.971208703717988
"frequency_nature",0.547607070862955,4,0.968703982885335
"knowledge_fish",0.675679159745535,4,0.954293960009019
