"name","kingdom","phylum","class","order","family","genus","species"
"Abalistes_stellatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus"
"Abudefduf_abdominalis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf abdominalis"
"Abudefduf_bengalensis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf bengalensis"
"Abudefduf_concolor","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf concolor"
"Abudefduf_conformis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf conformis"
"Abudefduf_luridus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf luridus"
"Abudefduf_notatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf notatus"
"Abudefduf_saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis"
"Abudefduf_septemfasciatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf septemfasciatus"
"Abudefduf_sexfasciatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sexfasciatus"
"Abudefduf_sordidus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sordidus"
"Abudefduf_sparoides","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sparoides"
"Abudefduf_troschelii","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf troschelii"
"Abudefduf_vaigiensis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis"
"Abudefduf_whitleyi","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf whitleyi"
"Acanthaluteres_brownii","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres brownii"
"Acanthaluteres_spilomelanurus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres spilomelanurus"
"Acanthaluteres_vittiger","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres vittiger"
"Acanthemblemaria_atrata","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria atrata"
"Acanthemblemaria_castroi","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria castroi"
"Acanthemblemaria_crockeri","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria crockeri"
"Acanthemblemaria_hancocki","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria hancocki"
"Acanthemblemaria_spinosa","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa"
"Acanthemblemaria_stephensi","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria stephensi"
"Acanthistius_cinctus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius cinctus"
"Acanthistius_ocellatus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius ocellatus"
"Acanthistius_pardalotus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius pardalotus"
"Acanthistius_patachonicus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius patachonicus"
"Acanthistius_sebastoides","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius sebastoides"
"Acanthistius_serratus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Acanthistius","Acanthistius serratus"
"Acanthochromis_polyacanthus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Acanthochromis","Acanthochromis polyacanthus"
"Acanthopagrus_australis","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus australis"
"Acanthopagrus_latus","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Acanthopagrus","Acanthopagrus latus"
"Acanthostracion_polygonius","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion polygonius"
"Acanthostracion_quadricornis","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion quadricornis"
"Acanthurus_achilles","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus achilles"
"Acanthurus_albipectoralis","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus albipectoralis"
"Acanthurus_auranticavus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus auranticavus"
"Acanthurus_bahianus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus bahianus"
"Acanthurus_bariene","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus bariene"
"Acanthurus_blochii","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus blochii"
"Acanthurus_chirurgus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus chirurgus"
"Acanthurus_chronixis","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus chronixis"
"Acanthurus_coeruleus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus coeruleus"
"Acanthurus_dussumieri","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus dussumieri"
"Acanthurus_fowleri","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus fowleri"
"Acanthurus_gahhm","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus gahhm"
"Acanthurus_grammoptilus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus grammoptilus"
"Acanthurus_guttatus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus guttatus"
"Acanthurus_leucocheilus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus"
"Acanthurus_leucopareius","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucopareius"
"Acanthurus_leucosternon","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucosternon"
"Acanthurus_lineatus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus lineatus"
"Acanthurus_maculiceps","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus maculiceps"
"Acanthurus_mata","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus mata"
"Acanthurus_nigricans","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigricans"
"Acanthurus_nigricauda","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigricauda"
"Acanthurus_nigrofuscus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus"
"Acanthurus_nigroris","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigroris"
"Acanthurus_nubilus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus nubilus"
"Acanthurus_olivaceus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus olivaceus"
"Acanthurus_pyroferus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus pyroferus"
"Acanthurus_reversus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus reversus"
