"family","totsp","oursp","percent","mean_esth","sd_esth","min_esth","max_esth"
"Acanthuridae",121,67,55.3719008264463,1612.29452415712,135.409615422546,1292.8494,1892.438
"Agonidae",178,1,0.561797752808989,1344.115,NA,1344.115,1344.115
"Albulidae",29,1,3.44827586206897,1358.925,NA,1358.925,1358.925
"Ambassidae",62,1,1.61290322580645,1422.2524,NA,1422.2524,1422.2524
"Ammodytidae",54,1,1.85185185185185,1360.5428,NA,1360.5428,1360.5428
"Anarhichadidae",30,1,3.33333333333333,1502.2667,NA,1502.2667,1502.2667
"Antennariidae",168,1,0.595238095238095,1529.745,NA,1529.745,1529.745
"Aploactinidae",71,1,1.40845070422535,1223.3833,NA,1223.3833,1223.3833
"Aplodactylidae",16,4,25,1446.474675,107.620914735671,1335.6675,1585.9478
"Apogonidae",515,58,11.2621359223301,1431.93001896552,109.392303098335,1243.0806,1745.0194
"Aracanidae",23,5,21.7391304347826,1765.42628,128.23393445464,1607.852,1910.0171
"Arripidae",10,4,40,1251.431,27.2021435438459,1236.7313,1292.174
"Atherinidae",192,5,2.60416666666667,1256.37556,30.4732583990948,1213.2102,1294.6553
"Aulopidae",35,1,2.85714285714286,1490.8333,NA,1490.8333,1490.8333
"Aulorhynchidae",1,1,100,1415.0645,NA,1415.0645,1415.0645
"Balistidae",142,28,19.7183098591549,1643.14218928571,114.654869148525,1436.7379,1889.7842
"Batrachoididae",178,9,5.0561797752809,1400.32695555556,125.305373981018,1265.152,1647.8071
"Belonidae",152,2,1.31578947368421,1297.3422,144.237196861351,1195.3511,1399.3333
"Berycidae",28,3,10.7142857142857,1443.90963333333,39.0732509919936,1404.8313,1482.9778
"Blenniidae",568,108,19.0140845070423,1437.29874722222,91.5385208103139,1243.3303,1721.994
"Bovichtidae",19,2,10.5263157894737,1397.10355,4.88999694529562,1393.6458,1400.5613
"Brachionichthyidae",20,1,5,1726.2987,NA,1726.2987,1726.2987
"Bythitidae",289,5,1.73010380622837,1277.11486,56.7674423164634,1216.163,1343.4113
"Caesionidae",71,18,25.3521126760563,1416.83972777778,75.468017515414,1298.9373,1574.9952
"Callanthiidae",21,1,4.76190476190476,1594.5195,NA,1594.5195,1594.5195
"Callionymidae",247,13,5.26315789473684,1546.85016153846,189.847580209118,1288.0923,1922.9343
"Carangidae",287,51,17.7700348432056,1300.29494877616,80.1048058749687,1181.8005,1505.9214
