"family","mean_lambda","se_lambda","mean_pval","se_pval","meanlambda_rounded","selambda_rounded","meanpval_rounded","sepval_rounded","size_fam"
"Balistidae",0.841572432852465,2.41569559150311e-09,0.0057015513648113,1.48006764895866e-10,0.842,0,0.006,0,0
"Pomacentridae",0.463661887233563,0.0742104390492629,8.14524380117824e-05,0.00041697982607711,0.464,0.074,0,0,0
"Monacanthidae",0.00487041737696487,0.0265758419277961,0.983866782592455,0.0815870793530071,0.005,0.027,0.984,0.082,0
"Chaenopsidae",0.0470588408704844,0.206561237554014,0.973632848752266,0.150880671260728,0.047,0.207,0.974,0.151,0
"Serranidae",0.0463973844588947,0.0861443376298312,0.885419688384688,0.247498032839774,0.046,0.086,0.885,0.247,0
"Sparidae",0.332687970986902,0.0772209077018808,0.0523489387768094,0.0343332983826772,0.333,0.077,0.052,0.034,0
"Ostraciidae",0.267727714057698,0.41103924162071,0.996229945902263,0.0335248383913393,0.268,0.411,0.996,0.034,0
"Acanthuridae",0.706503251461094,0.0935916229323503,5.57979519921876e-05,7.19298199568213e-05,0.707,0.094,0,0,0
"Labridae",0.374086380523284,0.0574910414775924,2.16173166558944e-07,8.74364636844417e-07,0.374,0.057,0,0,0
"Gobiidae",0.378458553861992,0.085125381170154,0.0152257519600363,0.024509525639317,0.378,0.085,0.015,0.025,0
"Microdesmidae",0.626971497349995,0.021490107666739,0.35675310867584,0.0316476077778458,0.627,0.021,0.357,0.032,0
"Carangidae",0.607136624229139,0.0920451004872285,0.043125227398958,0.0315463877444217,0.607,0.092,0.043,0.032,0
"Labrisomidae",6.61069613518961e-05,0,1,0,0,0,1,0,0
"Diodontidae",0.0103518176462253,0.0588037494924301,0.980556049081485,0.111183511887324,0.01,0.059,0.981,0.111,0
"Cirrhitidae",0.447665632024856,0.303604129674029,0.457668775770999,0.336618639277692,0.448,0.304,0.458,0.337,0
"Tetraodontidae",0.442260013948913,0.206079732272922,0.15350780976096,0.108069733505888,0.442,0.206,0.154,0.108,0
"Chaetodontidae",0.610022124371913,0.0465166794541201,0.00018517345478335,0.000339445189690848,0.61,0.047,0,0,0
"Batrachoididae",0.148929499957528,0.219667114700939,0.804660571244397,0.278324057795024,0.149,0.22,0.805,0.278,0
"Haemulidae",0.598627540108046,0.0844656659496258,0.00111811020569754,0.00155120116140519,0.599,0.084,0.001,0.002,0
"Aracanidae",0.913539490574627,6.33123031694672e-13,0.125735989303666,2.11806391738909e-14,0.914,0,0.126,0,0
"Lutjanidae",0.679917997205007,0.13148408397853,0.0623581656054608,0.172614118647191,0.68,0.131,0.062,0.173,0
"Aplodactylidae",6.11087185260762e-05,0,1,0,0,0,1,0,0
"Apogonidae",0.161348962931722,0.263488296156588,0.855574412977571,0.282354139512408,0.161,0.263,0.856,0.282,0
"Pomacanthidae",0.523918001259894,0.0809596484186001,0.0121869585310408,0.00989638952508736,0.524,0.081,0.012,0.01,0
"Sciaenidae",0.913937125300751,0.0679528753515998,0.00436638927416322,0.0097099442091718,0.914,0.068,0.004,0.01,0
"Arripidae",0.00110494452808494,0.00401804690906153,0.998899007510185,0.00427775538052188,0.001,0.004,0.999,0.004,0
"Cottidae",0.714627205270411,0.392578396007973,0.459362424013686,0.323101100359108,0.715,0.393,0.459,0.323,0
"Gobiesocidae",0.396659017512907,0.405813947842651,0.676517996337514,0.346303872587506,0.397,0.406,0.677,0.346,0
"Blenniidae",0.106509032153623,0.0642798494649156,0.335693860146951,0.2687624625669,0.107,0.064,0.336,0.269,0
"Plesiopidae",0.756217157850606,0.339126005384957,0.222751337864881,0.34937010307889,0.756,0.339,0.223,0.349,0
"Pseudochromidae",0.0280539654734195,0.0833278732520654,0.920550512902915,0.220946254158499,0.028,0.083,0.921,0.221,0
"Atherinidae",6.96299415992338e-05,3.40190450455801e-06,1,0,0,0,1,0,0
"Kyphosidae",0.631190041418003,0.13634516796561,0.375165159834662,0.250372388298395,0.631,0.136,0.375,0.25,0
"Tripterygiidae",0.101277109912398,0.210306796001632,0.831084952651124,0.329628084043477,0.101,0.21,0.831,0.33,0
"Belonidae",0.999933893038648,0,1,0,1,0,1,0,0
"Gadidae",6.58756189851574e-05,2.31342366738694e-06,1,0,0,0,1,0,0
"Embiotocidae",0.999933893038648,0,0.267949336976273,4.33062813761374e-15,1,0,0.268,0,0
"Caesionidae",0.097037030544817,0.244079360193504,0.987658062139859,0.0977966966939183,0.097,0.244,0.988,0.098,0
"Callionymidae",0.0706602597650099,0.226068327155251,0.952205926950909,0.181997887522363,0.071,0.226,0.952,0.182,0
"Scorpaenidae",0.81880404567583,0.119976796342501,0.00146650700147403,0.00653134728196465,0.819,0.12,0.001,0.007,0
"Malacanthidae",6.59378695808661e-05,9.24541308925532e-06,1,0,0,0,1,0,0
