"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Abalistes_stellatus",1508.023,"Abalistes_stellatus_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus",14.6076627900003,17.908162948071,3.22659673392145,1463.71006666667
"Abudefduf_abdominalis",1504.3175,"Abudefduf_abdominalis_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf abdominalis",5.63139848154976,10.7382360986517,4.11589338792183,1600.37713333333
"Abudefduf_bengalensis",1385.1897,"Abudefduf_bengalensis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf bengalensis",5.99047786781636,10.6990384187495,5.13053597585776,1453.3264
"Abudefduf_concolor",1434.8481,"Abudefduf_concolor_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf concolor",7.14613356459811,12.4972968000071,5.25577817792875,1486.6138
"Abudefduf_conformis",1421.0225,"Abudefduf_conformis_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf conformis",7.61822917069929,14.1675767452487,4.32280615975626,1458.9055
"Abudefduf_luridus",1587.095,"Abudefduf_luridus_J_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf luridus",8.37328078589737,14.5346209728187,4.29350293092304,1452.78266666667
"Abudefduf_notatus",1375.9985,"Abudefduf_notatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf notatus",5.60187370556699,10.5248881861557,4.28877379879541,1381.11446306333
"Abudefduf_saxatilis",1476.2231,"Abudefduf_saxatilis_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis",5.49695822799294,10.3767853150856,3.65872429999251,1478.4597
"Abudefduf_septemfasciatus",1436.0403,"Abudefduf_septemfasciatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf septemfasciatus",5.02270706257318,9.87253077940638,3.8554460549341,1382.14465
"Abudefduf_sexfasciatus",1652.0703,"Abudefduf_sexfasciatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sexfasciatus",5.37112332232987,10.721709770356,3.52499231375442,1599.903
