"sp_name","Importance"
"Abalistes_stellatus",NA
"Abudefduf_abdominalis",NA
"Abudefduf_bengalensis","minor commercial"
"Abudefduf_concolor",NA
"Abudefduf_conformis",NA
"Abudefduf_luridus",NA
"Abudefduf_notatus","of no interest"
"Abudefduf_saxatilis","minor commercial"
"Abudefduf_septemfasciatus","minor commercial"
"Abudefduf_sexfasciatus","minor commercial"
"Abudefduf_sordidus","minor commercial"
"Abudefduf_sparoides","of no interest"
"Abudefduf_troschelii",NA
"Abudefduf_vaigiensis","subsistence fisheries"
"Abudefduf_whitleyi",NA
"Acanthaluteres_brownii",NA
"Acanthaluteres_spilomelanurus",NA
"Acanthaluteres_vittiger",NA
"Acanthemblemaria_atrata",NA
"Acanthemblemaria_castroi",NA
"Acanthemblemaria_crockeri",NA
"Acanthemblemaria_hancocki",NA
"Acanthemblemaria_spinosa",NA
"Acanthemblemaria_stephensi",NA
"Acanthistius_cinctus",NA
"Acanthistius_ocellatus",NA
"Acanthistius_pardalotus",NA
"Acanthistius_patachonicus",NA
"Acanthistius_sebastoides","commercial"
"Acanthistius_serratus",NA
"Acanthochromis_polyacanthus",NA
"Acanthopagrus_australis","commercial"
"Acanthopagrus_latus",NA
"Acanthostracion_polygonius","commercial"
"Acanthostracion_quadricornis","minor commercial"
"Acanthurus_achilles","commercial"
"Acanthurus_albipectoralis",NA
"Acanthurus_auranticavus","commercial"
"Acanthurus_bahianus",NA
"Acanthurus_bariene","commercial"
"Acanthurus_blochii","commercial"
"Acanthurus_chirurgus","minor commercial"
"Acanthurus_chronixis","of no interest"
"Acanthurus_coeruleus","minor commercial"
"Acanthurus_dussumieri","minor commercial"
"Acanthurus_fowleri","minor commercial"
"Acanthurus_gahhm",NA
"Acanthurus_grammoptilus","commercial"
"Acanthurus_guttatus","commercial"
"Acanthurus_leucocheilus",NA
"Acanthurus_leucopareius","minor commercial"
"Acanthurus_leucosternon","minor commercial"
"Acanthurus_lineatus","commercial"
"Acanthurus_maculiceps","commercial"
"Acanthurus_mata","commercial"
"Acanthurus_nigricans","subsistence fisheries"
"Acanthurus_nigricauda","commercial"
"Acanthurus_nigrofuscus","commercial"
"Acanthurus_nigroris",NA
"Acanthurus_nubilus",NA
"Acanthurus_olivaceus","commercial"
"Acanthurus_pyroferus","commercial"
"Acanthurus_reversus",NA
"Acanthurus_sohal",NA
"Acanthurus_tennentii","commercial"
"Acanthurus_thompsoni",NA
"Acanthurus_triostegus","commercial"
"Acanthurus_tristis",NA
"Acanthurus_xanthopterus","minor commercial"
"Achoerodus_gouldii","minor commercial"
"Achoerodus_viridis",NA
"Aetapcus_maculatus",NA
"Aethaloperca_rogaa","minor commercial"
"Afurcagobius_tamarensis",NA
"Aioliops_brachypterus",NA
"Aioliops_novaeguineae",NA
"Albula_glossodonta","minor commercial"
"Alectis_ciliaris","minor commercial"
"Alloclinus_holderi",NA
"Allomycterus_pilatus",NA
"Alphestes_immaculatus","of no interest"
"Altrichthys_azurelineatus",NA
"Altrichthys_curatus",NA
"Aluterus_scriptus",NA
"Amanses_scopas","minor commercial"
"Ambassis_jacksoniensis",NA
"Amblycirrhitus_bimacula",NA
"Amblycirrhitus_earnshawi",NA
"Amblycirrhitus_pinos",NA
"Amblyeleotris_fasciata",NA
"Amblyeleotris_guttata",NA
"Amblyeleotris_gymnocephala","of no interest"
"Amblyeleotris_japonica",NA
"Amblyeleotris_periophthalma",NA
"Amblyeleotris_steinitzi",NA
"Amblyeleotris_sungami",NA
"Amblyeleotris_wheeleri",NA
"Amblyglyphidodon_aureus",NA
"Amblyglyphidodon_batunai",NA
"Amblyglyphidodon_curacao","of no interest"
"Amblyglyphidodon_flavilatus",NA
"Amblyglyphidodon_indicus",NA
"Amblyglyphidodon_leucogaster","minor commercial"
"Amblyglyphidodon_melanopterus",NA
"Amblyglyphidodon_orbicularis",NA
"Amblyglyphidodon_ternatensis",NA
"Amblygobius_buanensis",NA
"Amblygobius_bynoensis",NA
"Amblygobius_decussatus",NA
"Amblygobius_nocturnus",NA
"Amblygobius_phalaena","minor commercial"
"Amblyrhynchotes_honckenii","of no interest"
"Ammodytes_tobianus","highly commercial"
"Amphichaetodon_howensis",NA
"Amphichthys_cryptocentrus","minor commercial"
"Amphiprion_akallopisos","of no interest"
"Amphiprion_akindynos",NA
"Amphiprion_allardi",NA
"Amphiprion_bicinctus",NA
"Amphiprion_chrysopterus","subsistence fisheries"
"Amphiprion_clarkii","subsistence fisheries"
"Amphiprion_ephippium",NA
"Amphiprion_frenatus",NA
