name_worms,esthe_all,species,set
Halichoeres_garnoti_F_1,1379.495,Halichoeres_garnoti,a
Xanthichthys_mento_A_2,1637.108,Xanthichthys_mento,e
Anampses_femininus_F_1,1688.4479999999999,Anampses_femininus,c
Labroides_dimidiatus_J_1,1589.454,Labroides_dimidiatus,d
Scarus_frenatus_fem_120,1345.45862232248,Scarus_frenatus,a
Chromis_chrysura_A_2,1401.065,Chromis_chrysura,a
Labrichthys_unilineatus_juv_170,1339.42229526758,Labrichthys_unilineatus,c
Gobiodon_okinawae_A_1,1531.286,Gobiodon_okinawae,e
Epinephelus_coeruleopunctatus_A_1,1371.9589999999998,Epinephelus_coeruleopunctatus,a
Omobranchus_smithi_A_1,1390.368,Omobranchus_smithi,d
Acanthurus_nigroris_A_3,1361.675,Acanthurus_nigroris,c
Ostorhinchus_aureus_A_3,1345.3929999999998,Ostorhinchus_aureus,b
Anampses_twistii_13,1562.6352576545098,Anampses_twistii,d
Cheilodipterus_lachneri_A_1,1355.42,Cheilodipterus_lachneri,a
Neoglyphidodon_melas_juv_90,1539.8913567962302,Neoglyphidodon_melas,e
Chlorurus_gibbus_M_2,1713.339,Chlorurus_gibbus,b
Ostracion_meleagris_A_1,1712.1170000000002,Ostracion_meleagris,a
Trachypoma_macracanthus_A_2,1447.9720000000002,Trachypoma_macracanthus,b
Arothron_nigropunctatus7_22,1439.60184414982,Arothron_nigropunctatus,d
Dascyllus_trimaculatus_56,1233.6769273443801,Dascyllus_trimaculatus,a
Halichoeres_maculipinna_F_1,1527.3770000000002,Halichoeres_maculipinna,d
Scarus_frenatus_male_121,1561.53329322948,Scarus_frenatus,a
Acanthurus_tennentii_8,1662.2504185268801,Acanthurus_tennentii,b
Acanthurus_lineatus_6,1724.7422857679699,Acanthurus_lineatus,e
Balistes_punctatus_A_2,1738.4270000000001,Balistes_punctatus,b
Sargocentron_diadema_A_1,1513.874,Sargocentron_diadema,a
Centropyge_flavissima_A_1,1651.993,Centropyge_flavissima,a
Acanthurus_tristis_J_1,1478.122,Acanthurus_tristis,d
Carangoides_fulvoguttatus_A_2,1295.729,Carangoides_fulvoguttatus,d
Cheilinus_trilobatus_A_2,1490.585,Cheilinus_trilobatus,d
Parupeneus_pleurostigma_A_1,1399.201,Parupeneus_pleurostigma,c
Thalassoma_amblycephalum_fem_131,1287.82630281315,Thalassoma_amblycephalum,b
Mycteroperca_jordani_A_1,1411.233,Mycteroperca_jordani,d
Cephalopholis_spiloparaea_A_1,1336.764,Cephalopholis_spiloparaea,b
Pictilabrus_laticlavius_F_2,1311.671,Pictilabrus_laticlavius,e
Diodon_hystrix_A_1,1390.35,Diodon_hystrix,a
Acanthurus_olivaceus_J_1,1649.809,Acanthurus_olivaceus,e
Genicanthus_caudovittatus_F_1,1498.818,Genicanthus_caudovittatus,d
Hypoplectrus_unicolor_A_1,1439.9560000000001,Hypoplectrus_unicolor,a
Pomacanthus_semicirculatus_206,1870.07247686555,Pomacanthus_semicirculatus,b
Acanthaluteres_vittiger_F_1,1464.806,Acanthaluteres_vittiger,d
Chaetodon_triangulum_A_1,1620.1889999999999,Chaetodon_triangulum,d
Anampses_neoguinaicus_J_1,1388.6989999999998,Anampses_neoguinaicus,e
Acanthurus_leucosternon_A_2,1870.82,Acanthurus_leucosternon,c
Stethojulis_albovittata_fem_144,1319.80521305135,Stethojulis_albovittata,c
Scarus_tricolor_M_1,1591.8229999999999,Scarus_tricolor,e
Abudefduf_sparoides_2,1377.63203553,Abudefduf_sparoides,d
Sphoeroides_annulatus_A_3,1465.622,Sphoeroides_annulatus,c
Arothron_stellatus_A_1,1545.0079999999998,Arothron_stellatus,e
Chaetodon_multicinctus_A_1,1618.6629999999998,Chaetodon_multicinctus,d
Thalassoma_hebraicum_134,1432.01207875363,Thalassoma_hebraicum,b
Pseudanthias_squamipinnis_fem_109,1516.80632221634,Pseudanthias_squamipinnis,c
Acanthurus_triostegus_A_1,1601.775,Acanthurus_triostegus,b
Sufflamen_chrysopterum_A_1,1450.48,Sufflamen_chrysopterum,d
Diploprion_bifasciatum_A_3,1562.479,Diploprion_bifasciatum,b
Acanthurus_thompsoni_9,1351.53308931591,Acanthurus_thompsoni,b
Acanthopagrus_latus_A_1,1187.185,Acanthopagrus_latus,d
Sparisoma_viride_M_1,1645.9520000000002,Sparisoma_viride,b
Chaetodon_meyeri_39,1698.6716356133402,Chaetodon_meyeri,e
Amblyglyphidodon_ternatensis_A_2,1599.098,Amblyglyphidodon_ternatensis,e
Coris_aygula_fem_186,1503.32482956426,Coris_aygula,e
Sufflamen_chrysopterum_208,1368.00486085237,Sufflamen_chrysopterum,d
Chaetodon_trifasciatus_41,1621.2821237975102,Chaetodon_trifasciatus,c
Chaetodon_punctatofasciatus_J_1,1625.1779999999999,Chaetodon_punctatofasciatus,c
Labropsis_xanthonota_72,1459.8043714553799,Labropsis_xanthonota,c
Scolopsis_xenochrous_A_2,1406.0810000000001,Scolopsis_xenochrous,b
Chromis_nitida_A_1,1426.0910000000001,Chromis_nitida,e
Pomacanthus_arcuatus_A_2,1604.969,Pomacanthus_arcuatus,b
Pomacentrus_bankanensis_A_2,1647.352,Pomacentrus_bankanensis,d
Naso_elegans_86,1510.3600712011998,Naso_elegans,d
Platax_boersii_A_1,1356.599,Platax_boersii,d
Epinephelus_ongus_A_2,1345.194,Epinephelus_ongus,b
Semicossyphus_pulcher_A_2,1380.606,Semicossyphus_pulcher,b
Chromis_dimidiata_47,1452.27041963125,Chromis_dimidiata,b
Plectroglyphidodon_johnstonianus_202,1355.7626225868198,Plectroglyphidodon_johnstonianus,c
Balistoides_viridescens_A_1,1489.636,Balistoides_viridescens,c
Epinephelus_cyanopodus_A_1,1573.786,Epinephelus_cyanopodus,b
Ctenochaetus_tominiensis_A_2,1590.9779999999998,Ctenochaetus_tominiensis,b
