"sp_name","esthe_score","esthe_score_mean"
"Abalistes_stellatus",1564.5955,1463.71006666667
"Abudefduf_abdominalis",1616.3445,1600.37713333333
"Abudefduf_bengalensis",1453.3264,1453.3264
"Abudefduf_concolor",1523.1404,1486.6138
"Abudefduf_conformis",1511.6377,1458.9055
"Abudefduf_luridus",1627.8895,1452.78266666667
"Abudefduf_notatus",1425.2566,1381.11446306333
"Abudefduf_saxatilis",1539.4749,1478.4597
"Abudefduf_septemfasciatus",1386.3691,1382.14465
"Abudefduf_sexfasciatus",1712.4592,1599.903
"Abudefduf_sordidus",1363.285,1356.517
"Abudefduf_sparoides",1484.0095,1430.820767765
"Abudefduf_troschelii",1585.7848,1506.5604
"Abudefduf_vaigiensis",1450.9015,1431.57980700327
"Abudefduf_whitleyi",1423.365,1421.904
"Acanthaluteres_brownii",1478.4194,1422.74036666667
"Acanthaluteres_spilomelanurus",1565.4321,1464.13473333333
"Acanthaluteres_vittiger",1645.3358,1518.1856
"Acanthemblemaria_atrata",1397.984,1358.35375
"Acanthemblemaria_castroi",1411.0616,1376.0975
"Acanthemblemaria_crockeri",1385.5352,1385.5352
"Acanthemblemaria_hancocki",1437.6733,1358.60445
"Acanthemblemaria_spinosa",1410.3445,1410.3445
"Acanthemblemaria_stephensi",1487.753,1487.753
"Acanthistius_cinctus",1695.2675,1695.2675
"Acanthistius_ocellatus",1466.687,1397.3066
"Acanthistius_pardalotus",1421.5018,1421.5018
"Acanthistius_patachonicus",1364.1047,1298.99636666667
"Acanthistius_sebastoides",1301.8866,1301.8866
"Acanthistius_serratus",1264.0823,1264.0823
"Acanthochromis_polyacanthus",1599.4014,1410.42696
"Acanthopagrus_australis",1264.5488,1256.1305
"Acanthopagrus_latus",1187.185,1187.185
"Acanthostracion_polygonius",1678.2637,1640.64976666667
"Acanthostracion_quadricornis",1670.8469,1620.1391
"Acanthurus_achilles",1631.3818,1631.3818
"Acanthurus_albipectoralis",1454.019,1454.019
"Acanthurus_auranticavus",1544.7998,1544.7998
"Acanthurus_bahianus",1804.743,1804.743
"Acanthurus_bariene",1660.1016,1613.46346666667
"Acanthurus_blochii",1682.147,1682.147
"Acanthurus_chirurgus",1600.3994,1600.3994
"Acanthurus_chronixis",1528.2725,1522.3783
"Acanthurus_coeruleus",1808.11,1678.77533333333
"Acanthurus_dussumieri",1643.1941,1643.1941
"Acanthurus_fowleri",1643.8999,1643.8999
"Acanthurus_gahhm",1501.869,1501.869
"Acanthurus_grammoptilus",1706.4634,1517.77303333333
"Acanthurus_guttatus",1746.2756,1715.87305
"Acanthurus_leucocheilus",1572.432,1572.432
"Acanthurus_leucopareius",1474.1584,1414.1322
"Acanthurus_leucosternon",1870.82,1828.54841900096
"Acanthurus_lineatus",1856.406,1791.36549525599
"Acanthurus_maculiceps",1665.1069,1665.1069
"Acanthurus_mata",1683.412,1648.65005
"Acanthurus_nigricans",1690.6646,1690.6646
"Acanthurus_nigricauda",1488.4114,1404.88195579486
"Acanthurus_nigrofuscus",1698.8689,1526.2824343873
"Acanthurus_nigroris",1669.8153,1501.65586666667
"Acanthurus_nubilus",1585.227,1523.2994
"Acanthurus_olivaceus",1649.809,1640.1262
"Acanthurus_pyroferus",1663.1829,1579.1724
"Acanthurus_reversus",1636.3562,1596.4939
"Acanthurus_sohal",1707.6387,1707.6387
"Acanthurus_tennentii",1662.25041852688,1600.23070926344
"Acanthurus_thompsoni",1380.6481,1324.29852232898
"Acanthurus_triostegus",1601.775,1538.01042523061
"Acanthurus_tristis",1557.0305,1459.8941242049
"Acanthurus_xanthopterus",1574.2198,1574.2198
"Achoerodus_gouldii",1569.495,1420.79346666667
"Achoerodus_viridis",1543.4443,1489.1033
"Aetapcus_maculatus",1451.7192,1430.2215
"Aethaloperca_rogaa",1593.8365,1349.50975419506
"Afurcagobius_tamarensis",1470.907,1395.4225
"Aioliops_brachypterus",1556.335,1556.335
"Aioliops_novaeguineae",1342.2198,1330.5181
"Albula_glossodonta",1358.925,1330.77245
"Alectis_ciliaris",1442.8892,1366.27496666667
"Alloclinus_holderi",1453.751,1453.751
"Allomycterus_pilatus",1555.634,1519.7535
"Alphestes_immaculatus",1579.6174,1537.3752
"Altrichthys_azurelineatus",1408.4741,1344.96965
"Altrichthys_curatus",1452.9917,1443.62365
"Aluterus_scriptus",1626.845,1600.3068
"Amanses_scopas",1478.1699,1445.827
"Ambassis_jacksoniensis",1422.2524,1349.20245
"Amblycirrhitus_bimacula",1423.5913,1397.36445
"Amblycirrhitus_earnshawi",1377.2556,1361.30615
"Amblycirrhitus_pinos",1437.2551,1430.4959
"Amblyeleotris_fasciata",1415.0374,1415.0374
"Amblyeleotris_guttata",1555.3542,1507.94846666667
"Amblyeleotris_gymnocephala",1362.4192,1359.662
"Amblyeleotris_japonica",1407.5381,1365.35805
"Amblyeleotris_periophthalma",1531.0299,1465.53756666667
"Amblyeleotris_steinitzi",1401.6833,1392.65815
"Amblyeleotris_sungami",1418.4294,1388.2908
"Amblyeleotris_wheeleri",1525.5891,1492.3643
"Amblyglyphidodon_aureus",1658.964,1545.37426666667
"Amblyglyphidodon_batunai",1501.0615,1397.00773333333
"Amblyglyphidodon_curacao",1421.1189,1402.15183333333
"Amblyglyphidodon_flavilatus",1476.1208,1472.85075
"Amblyglyphidodon_indicus",1551.0205,1400.83036666667
"Amblyglyphidodon_leucogaster",1371.922,1336.7173
"Amblyglyphidodon_melanopterus",1251.5933,1251.5933
"Amblyglyphidodon_orbicularis",1436.064,1412.5831
"Amblyglyphidodon_ternatensis",1609.588,1554.25993333333
"Amblygobius_buanensis",1305.8823,1283.6881
"Amblygobius_bynoensis",1354.0999,1327.8578
"Amblygobius_decussatus",1524.8662,1480.3201
"Amblygobius_nocturnus",1247.483,1244.33165
"Amblygobius_phalaena",1691.2793,1572.66485
"Amblyrhynchotes_honckenii",1472.8374,1451.5465
"Ammodytes_tobianus",1360.5428,1345.8651
"Amphichaetodon_howensis",1739.6091,1739.6091
"Amphichthys_cryptocentrus",1340.2725,1306.3157
"Amphiprion_akallopisos",1567.5227,1556.03844318793
"Amphiprion_akindynos",1696.8529,1658.41035
"Amphiprion_allardi",1782.0454,1782.0454
"Amphiprion_bicinctus",1732.996,1702.52176666667
"Amphiprion_chrysopterus",1777.805,1764.5305
"Amphiprion_clarkii",1681.9619,1668.33993333333
"Amphiprion_ephippium",1640.7789,1640.7789
"Amphiprion_frenatus",1671.1399,1607.66593333333
"Amphiprion_fuscocaudatus",1625.9434,1625.9434
"Amphiprion_latezonatus",1640.8962,1605.9336
"Amphiprion_leucokranos",1550.6599,1542.86516666667
"Amphiprion_mccullochi",1620.7347,1576.3723
"Amphiprion_melanopus",1720.1724,1691.72693333333
"Amphiprion_nigripes",1502.3772,1502.20375
"Amphiprion_ocellaris",1772.4963,1703.75733333333
"Amphiprion_percula",1784.001,1725.0656
"Amphiprion_perideraion",1602.5322,1576.5999
"Amphiprion_rubrocinctus",1670.3962,1644.1878
"Amphiprion_sandaracinos",1523.7744,1523.7744
"Anampses_caeruleopunctatus",1782.7754,1623.048475
"Anampses_cuvier",1726.1655,1690.28263333333
"Anampses_elegans",1664.5374,1586.3878
"Anampses_femininus",1765.7263,1727.08715
"Anampses_geographicus",1501.721,1424.2989
"Anampses_lennardi",1692.6946,1681.23865
"Anampses_lineatus",1701.7393,1659.9459
"Anampses_melanurus",1676.0802,1652.3477
"Anampses_meleagrides",1816.8586,1645.33914169868
"Anampses_neoguinaicus",1582.9731,1485.83605
"Anampses_twistii",1636.916,1537.72058588484
"Anarrhichthys_ocellatus",1502.2667,1467.79045
"Anisotremus_caesius",1291.7106,1291.7106
"Anisotremus_davidsonii",1243.1715,1243.1715
"Anisotremus_interruptus",1308.919,1308.919
"Anisotremus_scapularis",1392.5708,1343.98415
"Anisotremus_surinamensis",1394.9846,1345.4668
"Anisotremus_taeniatus",1592.264,1555.8905
"Anisotremus_virginicus",1668.8308,1633.6044
"Anoplocapros_amygdaloides",1607.852,1531.39305
"Anoplocapros_inermis",1704.539,1618.08485
"Anoplocapros_lenticularis",1719.8877,1701.53206666667
"Anyperodon_leucogrammicus",1683.5243,1563.9856
"Aphareus_furca",1237.8254,1236.5981
"Aphareus_rutilans",1363.996,1279.06366666667
"Aploactisoma_milesii",1223.3833,1223.3833
"Aplodactylus_arctidens",1335.6675,1335.6675
"Aplodactylus_etheridgii",1585.9478,1585.9478
"Aplodactylus_lophodon",1468.2314,1360.4265
"Aplodactylus_westralis",1396.052,1396.052
"Apogon_atradorsatus",1321.4491,1321.4491
"Apogon_atricaudus",1421.832,1421.832
"Apogon_binotatus",1367.3833,1367.3833
"Apogon_dovii",1353.5747,1353.5747
"Apogon_imberbis",1446.489,1446.489
"Apogon_lachneri",1506.0645,1506.0645
"Apogon_maculatus",1500.7833,1500.7833
"Apogon_pacificus",1451.4534,1451.4534
"Apogon_retrosella",1306.6857,1306.6857
"Apogon_townsendi",1508.273,1508.273
"Apogonichthyoides_timorensis",1378.8826,1378.8826
"Apolemichthys_trimaculatus",1689.3772,1689.3772
"Aprion_virescens",1253.1028,1250.95545
"Aracana_aurita",1910.0171,1758.95166666667
"Aracana_ornata",1884.8356,1861.68795
"Archamia_bleekeri",1286.2029,1286.2029
"Arcos_poecilophthalmos",1455.696,1455.696
"Arenigobius_frenatus",1306.2913,1306.2913
"Argyrosomus_hololepidotus",1196.4849,1193.1785
"Argyrosomus_japonicus",1248.8281,1248.8281
"Arothron_caeruleopunctatus",1518.1072,1518.1072
"Arothron_diadematus",1467.5018,1451.11615
"Arothron_hispidus",1603.2429,1584.50955
"Arothron_inconditus",1457.4598,1330.32093333333
"Arothron_manilensis",1493.8394,1450.72733333333
"Arothron_mappa",1658.875,1631.7975
"Arothron_meleagris",1530.2617,1464.82785579128
"Arothron_nigropunctatus",1565.5509,1386.46135722904
"Arothron_stellatus",1648.7227,1574.236375
"Arripis_georgianus",1236.7313,1236.7313
"Arripis_trutta",1236.8813,1236.8813
"Arripis_truttacea",1239.9374,1239.9374
"Arripis_xylabion",1292.174,1292.174
"Artedius_harringtoni",1567.1345,1567.1345
"Aspasmogaster_tasmaniensis",1368.2395,1368.2395
"Aspidontus_dussumieri",1417.4016,1417.4016
"Aspidontus_taeniatus",1553.4252,1538.6166
"Assessor_flavissimus",1579.3508,1579.3508
"Assessor_macneilli",1696.2877,1618.32306666667
"Assessor_randalli",1690.9259,1690.9259
"Assiculus_punctatus",1566.009,1533.6222
"Asterropteryx_striata",1311.1807,1311.1807
"Atherina_hepsetus",1294.6553,1294.6553
"Atherina_presbyter",1250.5973,1250.5973
"Atherinomorus_vaigiensis",1249.5493,1249.5493
"Atractoscion_aequidens",1226.2297,1226.2297
"Atrosalarias_holomelas",1243.3303,1220.28
"Atule_mate",1257.8054,1257.8054
"Atypichthys_latus",1567.704,1567.704
"Atypichthys_strigatus",1547.5784,1547.5784
"Aulacocephalus_temminckii",1694.1913,1694.1913
"Aulorhynchus_flavidus",1415.0645,1415.0645
"Austrolabrus_maculatus",1488.3267,1366.96275
"Axoclinus_cocoensis",1479.6897,1478.7687
"Axoclinus_lucillae",1495.8774,1489.8441
"Axoclinus_multicinctus",1432.6917,1390.66906666667
"Axoclinus_rubinoffi",1499.4036,1499.4036
"Azurina_eupalama",1420.1115,1331.66175
"Balistapus_undulatus",1889.7842,1788.5306
"Balistes_capriscus",1737.4951,1655.8812
"Balistes_polylepis",1635.8252,1548.670375
"Balistes_punctatus",1738.427,1713.0555
"Balistes_vetula",1832.8486,1815.62435
"Balistoides_conspicillum",1748.8381,1748.8381
"Balistoides_viridescens",1693.6125,1621.6884
"Bathygobius_krefftii",1348.982,1348.982
"Bathygobius_lineatus",1439.9437,1439.9437
"Bathystethus_cultratus",1240.8926,1240.8926
"Batrachoides_boulengeri",1296.4773,1284.6905
"Belone_belone",1195.3511,1195.3511
"Belonoperca_chabanaudi",1562.605,1530.56505
"Blenniella_chrysospilos",1400.5007,1383.22565
"Bodianus_albotaeniatus",1705.8605,1571.28676666667
"Bodianus_anthioides",1610.002,1557.1401
"Bodianus_axillaris",1578.839,1483.87669724974
"Bodianus_bilunulatus",1597.6157,1581.5532
"Bodianus_diana",1565.5583,1497.0005
"Bodianus_dictynna",1533.2175,1492.27285
"Bodianus_diplotaenia",1583.2257,1540.92655
"Bodianus_eclancheri",1660.443,1583.50596666667
"Bodianus_frenchii",1559.4011,1541.90625
"Bodianus_loxozonus",1655.3383,1654.41725
"Bodianus_mesothorax",1547.391,1493.189375
"Bodianus_perditio",1539.2476,1539.2476
"Bodianus_rufus",1567.8318,1567.8318
"Bodianus_scrofa",1639.544,1600.7826
"Bodianus_unimaculatus",1486.1376,1469.15035
"Bolbometopon_muricatum",1415.751,1362.01705
"Boops_boops",1233.4546,1233.4546
"Boopsoidea_inornata",1275.9648,1275.9648
"Boreogadus_saida",1276.2048,1262.3027
"Bothragonus_occidentalis",1344.115,1344.115
"Bovichtus_angustifrons",1393.6458,1393.6458
"Bovichtus_argentinus",1400.5613,1400.5613
"Brachaluteres_jacksonianus",1649.3042,1573.7571
"Brachionichthys_hirsutus",1726.2987,1703.15035
"Brachyistius_frenatus",1308.8068,1308.8068
"Bryaninops_amplus",1395.5923,1395.5923
"Bryaninops_erythrops",1414.77,1399.39805
"Bryaninops_natans",1364.7144,1364.7144
"Bryaninops_nexus",1354.5498,1354.5498
"Bryaninops_yongei",1442.0131,1390.0675
"Caesio_caerulaurea",1403.5723,1403.5723
"Caesio_cuning",1486.013,1409.4889
"Caesio_lunaris",1574.9952,1395.30403373737
"Caesio_striata",1421.1317,1421.1317
"Caesio_suevica",1411.4331,1411.09631677335
"Caesio_teres",1515.146,1380.66276666667
"Caesio_varilineata",1532.4631,1532.4631
"Caesio_xanthonota",1489.5193,1446.11330388894
"Caesioperca_lepidoptera",1318.8788,1318.8788
"Caesioperca_rasor",1368.4353,1333.8371
"Caesioscorpis_theagenes",1249.7104,1249.7104
"Caffrogobius_nudiceps",1380.1345,1380.1345
"Calamus_bajonado",1413.9731,1312.8731
"Calamus_brachysomus",1273.205,1273.205
"Calamus_calamus",1574.0273,1445.15503333333
"Calamus_pennatula",1309.722,1290.7349
"Calamus_taurinus",1301.7527,1292.9458
"Callanthias_australis",1594.5195,1493.70153333333
"Calliclinus_geniguttatus",1564.3116,1476.3714
"Callionymus_comptus",1327.7747,1327.7747
"Callionymus_lyra",1593.5134,1593.5134
"Calloplesiops_altivelis",1938.2141,1738.37066666667
"Calotomus_carolinus",1674.2485,1449.45615
"Calotomus_japonicus",1360.3329,1334.24775
"Calotomus_spinidens",1299.6167,1275.58706666667
"Calotomus_viridescens",1539.5908,1385.17696666667
"Cantherhines_dumerilii",1542.0797,1531.83035
"Cantherhines_fronticinctus",1528.022,1528.022
"Cantherhines_longicaudus",1508.4138,1476.23045
"Cantherhines_macrocerus",1618.2827,1617.40015
"Cantherhines_pardalis",1530.6344,1466.88466666667
"Cantherhines_pullus",1592.1809,1564.75715
"Cantherhines_sandwichiensis",1402.3822,1370.96033333333
"Cantheschenia_grandisquamis",1522.4688,1522.4688
"Canthidermis_maculata",1472.666,1472.666
"Canthidermis_sufflamen",1436.7379,1387.93965
"Canthigaster_amboinensis",1710.5786,1694.55055
"Canthigaster_axiologus",1550.6805,1550.6805
"Canthigaster_bennetti",1502.7792,1472.9636
"Canthigaster_callisterna",1562.9116,1556.9646
"Canthigaster_capistrata",1546.2383,1531.74365
"Canthigaster_coronata",1544.3213,1544.3213
"Canthigaster_cyanetron",1324.5305,1301.2865
"Canthigaster_epilampra",1595.5781,1595.5781
"Canthigaster_figueiredoi",1486.5731,1441.10905
"Canthigaster_jactator",1689.8994,1689.8994
"Canthigaster_janthinoptera",1666.4861,1621.6623
"Canthigaster_marquesensis",1475.4287,1475.4287
"Canthigaster_papua",1698.722,1698.722
"Canthigaster_punctatissima",1710.4929,1703.68665
"Canthigaster_rapaensis",1428.3264,1428.3264
"Canthigaster_rivulata",1667.9995,1490.4552
"Canthigaster_rostrata",1602.6941,1507.7591
"Canthigaster_sanctaehelenae",1555.9918,1530.90275
"Canthigaster_smithae",1574.2167,1574.2167
"Canthigaster_valentini",1623.2874,1623.2874
"Caprodon_longimanus",1598.4165,1517.4767
"Caracanthus_maculatus",1375.7443,1375.7443
"Caracanthus_typicus",1514.5449,1514.5449
"Caracanthus_unipinna",1299.9036,1299.9036
"Carangoides_bajad",1466.3275,1377.5549
"Carangoides_bartholomaei",1312.96,1312.96
"Carangoides_chrysophrys",1331.7382,1321.1778
"Carangoides_ferdau",1305.2856,1280.65445
"Carangoides_fulvoguttatus",1295.729,1255.41456666667
