"name_worms","sp_worms","name","copyright","mayo_db","serf","newcal","iucn","rls","focus","mayo_campgn","fisheyes_campgn","esthe_mayo","esthe_fisheyes","esthe_all","esthe_pred","method"
"Abalistes_stellatus_A_1","Abalistes_stellatus","Abalistes_stellatus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1318.5117,"predicted"
"Abalistes_stellatus_A_2","Abalistes_stellatus","Abalistes_stellatus_A_2","NO",0,0,1,0,1,1,0,1,NA,1507.302,1507.302,1508.023,"evaluated"
"Abalistes_stellatus_J_1","Abalistes_stellatus","Abalistes_stellatus_J_1","YES",0,0,1,0,1,1,0,0,NA,0,NA,1564.5955,"predicted"
"Abudefduf_abdominalis_A_1","Abudefduf_abdominalis","Abudefduf_abdominalis_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1616.3445,"predicted"
"Abudefduf_abdominalis_A_2","Abudefduf_abdominalis","Abudefduf_abdominalis_A_2","NO",0,0,0,0,1,1,0,0,NA,0,NA,1581.5393,"predicted"
"Abudefduf_abdominalis_J_1","Abudefduf_abdominalis","Abudefduf_abdominalis_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1603.2476,"predicted"
"Abudefduf_bengalensis_A_1","Abudefduf_bengalensis","Abudefduf_bengalensis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1453.3264,"predicted"
"Abudefduf_concolor_A_1","Abudefduf_concolor","Abudefduf_concolor_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1450.0872,"predicted"
"Abudefduf_concolor_A_2","Abudefduf_concolor","Abudefduf_concolor_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1523.1404,"predicted"
"Abudefduf_conformis_A_1","Abudefduf_conformis","Abudefduf_conformis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1511.6377,"predicted"
"Abudefduf_conformis_A_2","Abudefduf_conformis","Abudefduf_conformis_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1406.1733,"predicted"
"Abudefduf_luridus_A_1","Abudefduf_luridus","Abudefduf_luridus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1379.6497,"predicted"
"Abudefduf_luridus_A_2","Abudefduf_luridus","Abudefduf_luridus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1350.8088,"predicted"
"Abudefduf_luridus_J_2","Abudefduf_luridus","Abudefduf_luridus_J_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1627.8895,"predicted"
"Abudefduf_notatus_1","Abudefduf_notatus","Abudefduf_notatus_1","YES",1,0,0,0,1,1,1,0,1362.977124,0,1338.26265899076,1336.97232612667,"evaluated"
"Abudefduf_notatus_A_1","Abudefduf_notatus","Abudefduf_notatus_A_1","YES",1,0,0,0,1,1,0,0,NA,0,NA,1425.2566,"predicted"
"Abudefduf_saxatilis_A_1","Abudefduf_saxatilis","Abudefduf_saxatilis_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1457.4062,"predicted"
"Abudefduf_saxatilis_A_2","Abudefduf_saxatilis","Abudefduf_saxatilis_A_2","NO",0,0,1,0,1,1,0,0,NA,0,NA,1539.4749,"predicted"
"Abudefduf_saxatilis_J_1","Abudefduf_saxatilis","Abudefduf_saxatilis_J_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1438.498,"predicted"
"Abudefduf_septemfasciatus_A_1","Abudefduf_septemfasciatus","Abudefduf_septemfasciatus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1377.9202,"predicted"
"Abudefduf_septemfasciatus_A_2","Abudefduf_septemfasciatus","Abudefduf_septemfasciatus_A_2","YES",0,0,1,0,1,1,0,0,NA,0,NA,1386.3691,"predicted"
"Abudefduf_sexfasciatus_A_1","Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_1","YES",0,0,1,0,1,1,0,0,NA,0,NA,1462.5137,"predicted"
"Abudefduf_sexfasciatus_A_2","Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_2","YES",0,0,1,0,1,1,0,0,NA,0,NA,1712.4592,"predicted"
"Abudefduf_sexfasciatus_A_3","Abudefduf_sexfasciatus","Abudefduf_sexfasciatus_A_3","YES",0,0,1,0,1,1,0,0,NA,0,NA,1624.7361,"predicted"
"Abudefduf_sordidus_A_1","Abudefduf_sordidus","Abudefduf_sordidus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1352.9045,"predicted"
"Abudefduf_sordidus_A_2","Abudefduf_sordidus","Abudefduf_sordidus_A_2","NO",0,0,1,0,1,1,0,0,NA,0,NA,1353.3615,"predicted"
"Abudefduf_sordidus_A_3","Abudefduf_sordidus","Abudefduf_sordidus_A_3","YES",0,0,1,0,1,1,0,1,NA,1368.123,1368.123,1363.285,"evaluated"
"Abudefduf_sparoides_2","Abudefduf_sparoides","Abudefduf_sparoides_2","YES",1,0,0,0,1,1,1,0,1408.883012,0,1378.42762378286,1377.63203553,"evaluated"
"Abudefduf_sparoides_A_1","Abudefduf_sparoides","Abudefduf_sparoides_A_1","YES",1,0,0,0,1,1,0,0,NA,0,NA,1484.0095,"predicted"
"Abudefduf_troschelii_A_1","Abudefduf_troschelii","Abudefduf_troschelii_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1585.7848,"predicted"
"Abudefduf_troschelii_A_2","Abudefduf_troschelii","Abudefduf_troschelii_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1427.336,"predicted"
"Abudefduf_vaigiensis_3","Abudefduf_vaigiensis","Abudefduf_vaigiensis_3","YES",1,0,1,0,1,1,1,0,1447.976771,0,1412.63237446376,1412.25811400655,"evaluated"
"Abudefduf_vaigiensis_A_1","Abudefduf_vaigiensis","Abudefduf_vaigiensis_A_1","NO",1,0,1,0,1,1,0,0,NA,0,NA,1450.9015,"predicted"
"Abudefduf_whitleyi_A_1","Abudefduf_whitleyi","Abudefduf_whitleyi_A_1","YES",0,0,1,0,1,1,0,0,NA,0,NA,1420.443,"predicted"
"Abudefduf_whitleyi_A_2","Abudefduf_whitleyi","Abudefduf_whitleyi_A_2","NO",0,0,1,0,1,1,0,0,NA,0,NA,1423.365,"predicted"
"Acanthaluteres_brownii_F_1","Acanthaluteres_brownii","Acanthaluteres_brownii_F_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1318.1652,"predicted"
"Acanthaluteres_brownii_M_1","Acanthaluteres_brownii","Acanthaluteres_brownii_M_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1478.4194,"predicted"
"Acanthaluteres_brownii_M_2","Acanthaluteres_brownii","Acanthaluteres_brownii_M_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1471.6365,"predicted"
"Acanthaluteres_spilomelanurus_F_1","Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_F_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1393.3494,"predicted"
"Acanthaluteres_spilomelanurus_M_1","Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_M_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1433.6227,"predicted"
"Acanthaluteres_spilomelanurus_M_2","Acanthaluteres_spilomelanurus","Acanthaluteres_spilomelanurus_M_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1565.4321,"predicted"
"Acanthaluteres_vittiger_F_1","Acanthaluteres_vittiger","Acanthaluteres_vittiger_F_1","YES",0,1,0,0,1,1,0,1,NA,1450.77,1450.77,1464.806,"evaluated"
"Acanthaluteres_vittiger_M_1","Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1444.415,"predicted"
"Acanthaluteres_vittiger_M_2","Acanthaluteres_vittiger","Acanthaluteres_vittiger_M_2","YES",0,1,0,0,1,1,0,0,NA,0,NA,1645.3358,"predicted"
"Acanthemblemaria_atrata_A_1","Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA,1318.7235,"predicted"
"Acanthemblemaria_atrata_A_2","Acanthemblemaria_atrata","Acanthemblemaria_atrata_A_2","YES",0,0,0,1,0,1,0,0,NA,0,NA,1397.984,"predicted"
"Acanthemblemaria_castroi_A_1","Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA,1341.1334,"predicted"
"Acanthemblemaria_castroi_A_2","Acanthemblemaria_castroi","Acanthemblemaria_castroi_A_2","YES",0,0,0,1,0,1,0,0,NA,0,NA,1411.0616,"predicted"
"Acanthemblemaria_crockeri_A_1","Acanthemblemaria_crockeri","Acanthemblemaria_crockeri_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1385.5352,"predicted"
"Acanthemblemaria_hancocki_A_1","Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1322.75,"predicted"
"Acanthemblemaria_hancocki_A_2","Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1389.4413,"predicted"
"Acanthemblemaria_hancocki_A_3","Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_3","YES",0,0,0,0,1,1,0,0,NA,0,NA,1437.6733,"predicted"
"Acanthemblemaria_hancocki_A_4","Acanthemblemaria_hancocki","Acanthemblemaria_hancocki_A_4","YES",0,0,0,0,1,1,0,0,NA,0,NA,1284.5532,"predicted"
"Acanthemblemaria_spinosa_A_1","Acanthemblemaria_spinosa","Acanthemblemaria_spinosa_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1410.3445,"predicted"
"Acanthemblemaria_stephensi_A_1","Acanthemblemaria_stephensi","Acanthemblemaria_stephensi_A_1","YES",0,0,0,1,0,1,0,0,NA,0,NA,1487.753,"predicted"
"Acanthistius_cinctus_A_1","Acanthistius_cinctus","Acanthistius_cinctus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1695.2675,"predicted"
"Acanthistius_ocellatus_A_1","Acanthistius_ocellatus","Acanthistius_ocellatus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1401.0543,"predicted"
"Acanthistius_ocellatus_A_2","Acanthistius_ocellatus","Acanthistius_ocellatus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1466.687,"predicted"
"Acanthistius_ocellatus_J_1","Acanthistius_ocellatus","Acanthistius_ocellatus_J_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1324.1785,"predicted"
"Acanthistius_pardalotus_A_1","Acanthistius_pardalotus","Acanthistius_pardalotus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1421.5018,"predicted"
"Acanthistius_patachonicus_A_1","Acanthistius_patachonicus","Acanthistius_patachonicus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1252.0967,"predicted"
"Acanthistius_patachonicus_A_2","Acanthistius_patachonicus","Acanthistius_patachonicus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1364.1047,"predicted"
"Acanthistius_patachonicus_A_3","Acanthistius_patachonicus","Acanthistius_patachonicus_A_3","YES",0,0,0,0,1,1,0,0,NA,0,NA,1280.7877,"predicted"
"Acanthistius_sebastoides_A_1","Acanthistius_sebastoides","Acanthistius_sebastoides_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1301.8866,"predicted"
"Acanthistius_serratus_A_1","Acanthistius_serratus","Acanthistius_serratus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1264.0823,"predicted"
"Acanthochromis_polyacanthus_A_1","Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA,1454.1454,"predicted"
"Acanthochromis_polyacanthus_A_2","Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_2","YES",0,0,1,0,1,1,0,0,NA,0,NA,1379.5839,"predicted"
"Acanthochromis_polyacanthus_A_3","Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_3","YES",0,0,1,0,1,1,0,0,NA,0,NA,1302.0571,"predicted"
