"sp_worms","name_worms","name","copyright","mayo_db","serf","newcal","iucn","rls","focus","mayo_campgn","fisheyes_campgn","esthe_mayo","esthe_fisheyes","esthe_all"
"Abalistes_stellatus","Abalistes_stellatus_A_1","Abalistes_stellatus_A_1","NO",0,0,1,0,1,1,0,0,NA,0,NA
"Abalistes_stellatus","Abalistes_stellatus_A_2","Abalistes_stellatus_A_2","NO",0,0,1,0,1,1,0,1,NA,1507.302,1507.302
"Abalistes_stellatus","Abalistes_stellatus_J_1","Abalistes_stellatus_J_1","YES",0,0,1,0,1,1,0,0,NA,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_A_1","Abudefduf_abdominalis_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_A_2","Abudefduf_abdominalis_A_2","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_abdominalis","Abudefduf_abdominalis_J_1","Abudefduf_abdominalis_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_bengalensis","Abudefduf_bengalensis_A_1","Abudefduf_bengalensis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_concolor","Abudefduf_concolor_A_1","Abudefduf_concolor_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_concolor","Abudefduf_concolor_A_2","Abudefduf_concolor_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_conformis","Abudefduf_conformis_A_1","Abudefduf_conformis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_conformis","Abudefduf_conformis_A_2","Abudefduf_conformis_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_luridus","Abudefduf_luridus_A_1","Abudefduf_luridus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_luridus","Abudefduf_luridus_A_2","Abudefduf_luridus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_luridus","Abudefduf_luridus_J_2","Abudefduf_luridus_J_2","YES",0,0,0,0,1,1,0,0,NA,0,NA
"Abudefduf_notatus","Abudefduf_notatus_1","Abudefduf_notatus_1","YES",1,0,0,0,1,1,1,0,1362.977124,0,1338.26265899076
"Abudefduf_notatus","Abudefduf_notatus_A_1","Abudefduf_notatus_A_1","YES",1,0,0,0,1,1,0,0,NA,0,NA
