acc_sci_name;kingdom;phylum;class;order;family;genus;species;rls;iucn;included
Abalistes_stellaris;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellaris;0;0;0
Abalistes_stellatus;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;1;0;1
Ablabys_taenianotus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Tetrarogidae;Ablabys;Ablabys taenianotus;0;0;0
Abudefduf_abdominalis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf abdominalis;1;0;1
Abudefduf_bengalensis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf bengalensis;1;0;1
Abudefduf_concolor;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf concolor;1;0;1
Abudefduf_conformis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf conformis;1;0;1
Abudefduf_luridus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf luridus;1;0;1
Abudefduf_notatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf notatus;1;0;1
Abudefduf_saxatilis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf saxatilis;1;0;1
Abudefduf_septemfasciatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;1;0;1
Abudefduf_sexfasciatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf sexfasciatus;1;0;1
Abudefduf_sordidus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf sordidus;1;0;1
Abudefduf_sparoides;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf sparoides;1;0;1
Abudefduf_troschelii;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf troschelii;1;0;1
Abudefduf_vaigiensis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf vaigiensis;1;0;1
Abudefduf_whitleyi;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Abudefduf;Abudefduf whitleyi;1;0;1
Acanthaluteres_brownii;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Acanthaluteres;Acanthaluteres brownii;1;0;1
Acanthaluteres_spilomelanurus;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Acanthaluteres;Acanthaluteres spilomelanurus;1;0;1
Acanthaluteres_vittiger;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Acanthaluteres;Acanthaluteres vittiger;1;0;1
Acanthemblemaria_atrata;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria atrata;0;1;1
Acanthemblemaria_castroi;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria castroi;0;1;1
Acanthemblemaria_crockeri;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria crockeri;1;0;1
Acanthemblemaria_hancocki;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria hancocki;1;0;1
Acanthemblemaria_spinosa;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria spinosa;1;0;1
Acanthemblemaria_stephensi;Animalia;Chordata;Actinopterygii;Perciformes;Chaenopsidae;Acanthemblemaria;Acanthemblemaria stephensi;0;1;1
Acanthistius_cinctus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius cinctus;1;0;1
Acanthistius_fuscus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius fuscus;0;0;0
Acanthistius_ocellatus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius ocellatus;1;0;1
Acanthistius_pardalotus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius pardalotus;1;0;1
Acanthistius_patachonicus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius patachonicus;1;0;1
Acanthistius_sebastoides;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius sebastoides;1;0;1
Acanthistius_serratus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Acanthistius;Acanthistius serratus;1;0;1
Acanthochromis_polyacanthus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Acanthochromis;Acanthochromis polyacanthus;1;0;1
Acanthocybium_solandri;Animalia;Chordata;Actinopterygii;Perciformes;Scombridae;Acanthocybium;Acanthocybium solandri;0;0;0
Acanthopagrus_australis;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Acanthopagrus;Acanthopagrus australis;1;0;1
Acanthopagrus_berda;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Acanthopagrus;Acanthopagrus berda;0;0;0
Acanthopagrus_bifasciatus;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Acanthopagrus;Acanthopagrus bifasciatus;0;0;0
Acanthopagrus_latus;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Acanthopagrus;Acanthopagrus latus;1;0;1
Acanthostracion_polygonius;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;1;0;1
Acanthostracion_quadricornis;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion quadricornis;1;0;1
Acanthurus_achilles;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus achilles;1;0;1
Acanthurus_albipectoralis;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus albipectoralis;1;0;1
Acanthurus_auranticavus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus auranticavus;1;0;1
Acanthurus_bahianus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus bahianus;1;0;1
Acanthurus_bariene;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus bariene;1;0;1
Acanthurus_blochii;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus blochii;1;0;1
Acanthurus_chirurgus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus chirurgus;1;0;1
Acanthurus_chronixis;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus chronixis;0;1;1
Acanthurus_coeruleus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus coeruleus;1;0;1
Acanthurus_dussumieri;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus dussumieri;1;0;1
Acanthurus_fowleri;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus fowleri;1;0;1
Acanthurus_gahhm;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus gahhm;1;0;1
Acanthurus_grammoptilus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus grammoptilus;1;0;1
Acanthurus_guttatus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus guttatus;1;0;1
Acanthurus_japonicus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus japonicus;0;0;0
Acanthurus_leucocheilus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus leucocheilus;1;0;1
Acanthurus_leucopareius;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus leucopareius;1;0;1
Acanthurus_leucosternon;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus leucosternon;1;0;1
Acanthurus_lineatus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus lineatus;1;0;1
Acanthurus_maculiceps;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus maculiceps;1;0;1
Acanthurus_mata;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus mata;1;0;1
Acanthurus_nigricans;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus nigricans;1;0;1
Acanthurus_nigricauda;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus nigricauda;1;0;1
Acanthurus_nigrofuscus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus nigrofuscus;1;0;1
Acanthurus_nigroris;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus nigroris;1;0;1
Acanthurus_nubilus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus nubilus;1;0;1
Acanthurus_olivaceus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus olivaceus;1;0;1
Acanthurus_pyroferus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus pyroferus;1;0;1
Acanthurus_reversus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus reversus;1;0;1
Acanthurus_sohal;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus sohal;1;0;1
Acanthurus_tennentii;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus tennentii;1;0;1
Acanthurus_thompsoni;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus thompsoni;1;0;1
Acanthurus_triostegus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus triostegus;1;0;1
Acanthurus_tristis;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus tristis;1;0;1
Acanthurus_xanthopterus;Animalia;Chordata;Actinopterygii;Perciformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus;1;0;1
Acentrogobius_nebulosus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Acentrogobius;Acentrogobius nebulosus;0;0;0
Achoerodus_gouldii;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Achoerodus;Achoerodus gouldii;1;1;1
Achoerodus_viridis;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Achoerodus;Achoerodus viridis;1;0;1
Aeoliscus_strigatus;Animalia;Chordata;Actinopterygii;Syngnathiformes;Centriscidae;Aeoliscus;Aeoliscus strigatus;1;0;0
Aetapcus_maculatus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Pataecidae;Aetapcus;Aetapcus maculatus;1;0;1
Aethaloperca_rogaa;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Aethaloperca;Aethaloperca rogaa;1;0;1
Aetobatus_narinari;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Myliobatidae;Aetobatus;Aetobatus narinari;1;0;0
Aetobatus_ocellatus;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Myliobatidae;Aetobatus;Aetobatus ocellatus;1;1;0
Aetomylaeus_maculatus;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Myliobatidae;Aetomylaeus;Aetomylaeus maculatus;0;1;0
Aetomylaeus_nichofii;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Myliobatidae;Aetomylaeus;Aetomylaeus nichofii;0;1;0
Afurcagobius_tamarensis;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Afurcagobius;Afurcagobius tamarensis;1;0;1
Aioliops_novaeguineae;Animalia;Chordata;Actinopterygii;Perciformes;Microdesmidae;Aioliops;Aioliops novaeguineae;1;0;1
Albula_argentea;Animalia;Chordata;Actinopterygii;Albuliformes;Albulidae;Albula;Albula argentea;0;0;0
Albula_glossodonta;Animalia;Chordata;Actinopterygii;Albuliformes;Albulidae;Albula;Albula glossodonta;0;1;1
Alectis_ciliaris;Animalia;Chordata;Actinopterygii;Perciformes;Carangidae;Alectis;Alectis ciliaris;1;0;1
Alectis_indica;Animalia;Chordata;Actinopterygii;Perciformes;Carangidae;Alectis;Alectis indica;0;0;0
Alepes_vari;Animalia;Chordata;Actinopterygii;Perciformes;Carangidae;Alepes;Alepes vari;0;0;0
Alloclinus_holderi;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Alloclinus;Alloclinus holderi;1;0;1
Allomycterus_pilatus;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Diodontidae;Allomycterus;Allomycterus pilatus;1;0;1
Alphestes_immaculatus;Animalia;Chordata;Actinopterygii;Perciformes;Serranidae;Alphestes;Alphestes immaculatus;1;0;1
Altrichthys_azurelineatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Altrichthys;Altrichthys azurelineatus;0;1;1
Altrichthys_curatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Altrichthys;Altrichthys curatus;0;1;1
Aluterus_scriptus;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Aluterus;Aluterus scriptus;1;0;1
Amanses_scopas;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Amanses;Amanses scopas;1;0;1
Ambassis_jacksoniensis;Animalia;Chordata;Actinopterygii;Perciformes;Ambassidae;Ambassis;Ambassis jacksoniensis;1;0;1
Ambassis_miops;Animalia;Chordata;Actinopterygii;Perciformes;Ambassidae;Ambassis;Ambassis miops;0;0;0
Amblycirrhitus_bimacula;Animalia;Chordata;Actinopterygii;Perciformes;Cirrhitidae;Amblycirrhitus;Amblycirrhitus bimacula;1;0;1
Amblycirrhitus_earnshawi;Animalia;Chordata;Actinopterygii;Perciformes;Cirrhitidae;Amblycirrhitus;Amblycirrhitus earnshawi;0;1;1
Amblycirrhitus_pinos;Animalia;Chordata;Actinopterygii;Perciformes;Cirrhitidae;Amblycirrhitus;Amblycirrhitus pinos;1;0;1
Amblyeleotris_fasciata;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris fasciata;1;0;1
Amblyeleotris_guttata;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris guttata;1;0;1
Amblyeleotris_gymnocephala;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris gymnocephala;1;0;1
Amblyeleotris_japonica;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris japonica;1;0;1
Amblyeleotris_periophthalma;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris periophthalma;1;0;1
Amblyeleotris_steinitzi;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris steinitzi;1;0;1
Amblyeleotris_sungami;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris sungami;1;0;1
Amblyeleotris_wheeleri;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris wheeleri;1;0;1
Amblygaster_clupeoides;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Amblygaster;Amblygaster clupeoides;0;0;0
Amblygaster_sirm;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm;0;0;0
Amblyglyphidodon_aureus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon aureus;1;0;1
Amblyglyphidodon_batunai;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon batunai;1;1;1
Amblyglyphidodon_curacao;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon curacao;1;0;1
Amblyglyphidodon_flavilatus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon flavilatus;1;0;1
Amblyglyphidodon_indicus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon indicus;1;0;1
Amblyglyphidodon_leucogaster;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon leucogaster;1;0;1
Amblyglyphidodon_melanopterus;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon melanopterus;1;0;1
Amblyglyphidodon_orbicularis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon orbicularis;1;0;1
Amblyglyphidodon_ternatensis;Animalia;Chordata;Actinopterygii;Perciformes;Pomacentridae;Amblyglyphidodon;Amblyglyphidodon ternatensis;1;1;1
Amblygobius_buanensis;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius buanensis;1;0;1
Amblygobius_bynoensis;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius bynoensis;1;0;1
Amblygobius_decussatus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius decussatus;1;0;1
Amblygobius_nocturnus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius nocturnus;1;0;1
Amblygobius_phalaena;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius phalaena;1;0;1
Amblygobius_sphynx;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Amblygobius;Amblygobius sphynx;0;0;0
Amblyraja_radiata;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Amblyraja;Amblyraja radiata;0;1;0
Amblyrhynchotes_honckenii;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Tetraodontidae;Amblyrhynchotes;Amblyrhynchotes honckenii;1;0;1
Ammodytes_tobianus;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Ammodytes;Ammodytes tobianus;1;0;1
Amphichaetodon_howensis;Animalia;Chordata;Actinopterygii;Perciformes;Chaetodontidae;Amphichaetodon;Amphichaetodon howensis;1;0;1
Amphichthys_cryptocentrus;Animalia;Chordata;Actinopterygii;Batrachoidiformes;Batrachoididae;Amphichthys;Amphichthys cryptocentrus;1;0;1
